original,count,textNoURL
http://www.shs-adc.edu.ph/ lol dili pajud secure http://www.shs-adc.edu.ph/ http://www.shs-adc.edu.ph/,3,lol dili pajud secure
Spamming links in some cells because I was having too much fun making this,No complete URLs found,Spamming links in some cells because I was having too much fun making this
Far Cry 6 flopped harder than my grades https://www.youtube.com/watch?v=6EvZF2m546k,1,Far Cry 6 flopped harder than my grades
vsco https://www.instagram.com/ skskskskskskskssk,1,vsco  skskskskskskskssk
Trying some nonsense string http://alsduyhfaukdfhajdsfhkadsfhadsf but for some reason I think this would pass?,1,Trying some nonsense string  but for some reason I think this would pass?
dog https://scontent.fceb2-1.fna.fbcdn.net/v/t39.30808-6/p180x540/262195195_4236831553087846_8028891995317500877_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=730e14&_nc_ohc=SGfT388mZowAX9cvix6&tn=8OhbEKK2CigfoQkq&_nc_ht=scontent.fceb2-1.fna&oh=508f99db08f4206d4890a1d2c63d1951&oe=61B04354 funny,1,dog  funny
almost thereeeeeee,No complete URLs found,almost thereeeeeee
probably for the last cell i will spam urls,No complete URLs found,probably for the last cell i will spam urls
or not,No complete URLs found,or not
LONELLYYYYYYYY ROLLLLLING STAHHHHHHHHHHHHHHHHHHHHHHHHHH https://open.spotify.com/track/3wkejkspxUUrX4G7zdpQSd?si=35c1d58b308c4c7e,1,LONELLYYYYYYYY ROLLLLLING STAHHHHHHHHHHHHHHHHHHHHHHHHHH
https://docs.google.com/spreadsheets/d/1bXZeLYjFcFcBDKkBOXbI-Dm0RIMDXtz1XD_5XT63d3I/edit#gid=404309395 https://www.linkedin.com/feed/ https://zeromq.org/get-started/ i had to read this for some reason tcp://localhost:3000 https://usc.instructure.com/ https://usc.instructure.com/courses/12501,6,i had to read this for some reason
